ogc_fid,id,gridcode,wkb_geometry,climatecode
68,68,61,0103000020E6100000010000000500000000000000008039C0000000000000524000000000000039C0000000000000524000000000000039C00000000000E0514000000000008039C00000000000E0514000000000008039C00000000000005240,EF
78,78,61,0103000020E610000001000000050000000000000000803AC00000000000E051400000000000803AC00000000000C051400000000000803BC00000000000C051400000000000803BC00000000000E051400000000000803AC00000000000E05140,EF
96,96,61,0103000020E610000001000000050000000000000000803AC000000000006051400000000000803AC000000000008051400000000000003AC000000000008051400000000000003AC000000000006051400000000000803AC00000000000605140,EF
66,66,62,0103000020E610000001000000050000000000000000C0624000000000000052400000000000A0624000000000000052400000000000A0624000000000002052400000000000C0624000000000002052400000000000C062400000000000005240,ET
69,69,62,0103000020E610000001000000050000000000000000C049400000000000E0514000000000008049400000000000E05140000000000080494000000000000052400000000000C0494000000000000052400000000000C049400000000000E05140,ET
70,70,62,0103000020E610000001000000050000000000000000004C400000000000E051400000000000C04B400000000000E051400000000000C04B4000000000002052400000000000004C4000000000002052400000000000004C400000000000E05140,ET
73,73,62,0103000020E6100000010000000500000000000000001061400000000000E051400000000000F060400000000000E051400000000000F0604000000000000052400000000000106140000000000000524000000000001061400000000000E05140,ET
74,74,62,0103000020E6100000010000000500000000000000006061400000000000E0514000000000002061400000000000E05140000000000020614000000000000052400000000000606140000000000000524000000000006061400000000000E05140,ET
76,76,62,0103000020E610000001000000050000000000000000D062400000000000E051400000000000C062400000000000E051400000000000C0624000000000000052400000000000D0624000000000000052400000000000D062400000000000E05140,ET
102,102,43,0103000020E6100000010000000500000000000000004061C0000000000040514000000000005061C0000000000040514000000000005061C0000000000060514000000000004061C0000000000060514000000000004061C00000000000405140,Dfc
103,103,43,0103000020E610000001000000050000000000000000C049C000000000004051400000000000C049C0000000000060514000000000008049C0000000000060514000000000008049C000000000004051400000000000C049C00000000000405140,Dfc
108,108,43,0103000020E6100000010000000500000000000000009064400000000000405140000000000090644000000000006051400000000000A0644000000000006051400000000000A06440000000000040514000000000009064400000000000405140,Dfc
106,106,44,0103000020E610000001000000050000000000000000605C4000000000004051400000000000405C4000000000004051400000000000405C4000000000006051400000000000605C4000000000006051400000000000605C400000000000405140,Dfd
107,107,44,0103000020E610000001000000050000000000000000005D4000000000006051400000000000005D4000000000004051400000000000E05C4000000000004051400000000000E05C4000000000006051400000000000005D400000000000605140,Dfd
100,100,47,0103000020E610000001000000050000000000000000506540000000000060514000000000004065400000000000605140000000000040654000000000008051400000000000506540000000000080514000000000005065400000000000605140,Dsc
101,101,47,0103000020E610000001000000050000000000000000306640000000000060514000000000001066400000000000605140000000000010664000000000008051400000000000306640000000000080514000000000003066400000000000605140,Dsc
115,115,47,0103000020E610000001000000110000000000000000606540000000000020514000000000003065400000000000205140000000000020654000000000002051400000000000206540000000000040514000000000001065400000000000405140000000000000654000000000004051400000000000C0644000000000004051400000000000C0644000000000006051400000000000E0644000000000006051400000000000F0644000000000006051400000000000F064400000000000805140000000000030654000000000008051400000000000306540000000000040514000000000005065400000000000405140000000000050654000000000006051400000000000606540000000000060514000000000006065400000000000205140,Dsc
117,117,47,0103000020E610000001000000050000000000000000706540000000000020514000000000007065400000000000405140000000000080654000000000004051400000000000806540000000000020514000000000007065400000000000205140,Dsc
120,120,47,0103000020E610000001000000050000000000000000706540000000000000514000000000006065400000000000005140000000000060654000000000002051400000000000706540000000000020514000000000007065400000000000005140,Dsc
110,110,51,0103000020E610000001000000130000000000000000B062C000000000002051400000000000B062C000000000004051400000000000A062C000000000004051400000000000A062C000000000006051400000000000C062C000000000006051400000000000C062C000000000008051400000000000E062C000000000008051400000000000E062C00000000000A0514000000000007062C00000000000A0514000000000007062C0000000000080514000000000005062C0000000000080514000000000005062C00000000000A0514000000000004062C00000000000A0514000000000004062C0000000000060514000000000007062C0000000000060514000000000007062C0000000000040514000000000009062C0000000000040514000000000009062C000000000002051400000000000B062C00000000000205140,Dwc
122,122,51,0103000020E6100000010000000500000000000000000063C00000000000E0504000000000000063C000000000000051400000000000F062C000000000000051400000000000F062C00000000000E0504000000000000063C00000000000E05040,Dwc
123,123,52,0103000020E6100000010000000500000000000000005061400000000000E0504000000000003061400000000000E05040000000000030614000000000000051400000000000506140000000000000514000000000005061400000000000E05040,Dwd
130,130,52,0103000020E6100000010000000600000000000000004061400000000000A0504000000000004061400000000000C0504000000000005061400000000000C0504000000000006061400000000000C0504000000000006061400000000000A0504000000000004061400000000000A05040,Dwd
104,104,62,0103000020E61000000100000005000000000000000040524000000000004051400000000000205240000000000040514000000000002052400000000000A0514000000000004052400000000000A0514000000000004052400000000000405140,ET
105,105,62,0103000020E610000001000000070000000000000000605740000000000040514000000000000057400000000000405140000000000000574000000000006051400000000000E0564000000000006051400000000000E0564000000000008051400000000000605740000000000080514000000000006057400000000000405140,ET
113,113,62,0103000020E61000000100000009000000000000000000584000000000002051400000000000C0574000000000002051400000000000C0574000000000004051400000000000A0574000000000004051400000000000A05740000000000060514000000000004058400000000000605140000000000040584000000000004051400000000000005840000000000040514000000000000058400000000000205140,ET
126,126,62,0103000020E6100000010000000D00000000000000002060400000000000C0504000000000001060400000000000C0504000000000001060400000000000E0504000000000000060400000000000E05040000000000000604000000000002051400000000000106040000000000020514000000000001060400000000000605140000000000020604000000000006051400000000000206040000000000040514000000000003060400000000000405140000000000030604000000000002051400000000000206040000000000020514000000000002060400000000000C05040,ET
129,129,62,0103000020E6100000010000001B00000000000000000031400000000000A0504000000000008030400000000000A0504000000000008030400000000000C0504000000000000030400000000000C0504000000000000030400000000000E0504000000000008030400000000000E05040000000000080304000000000000051400000000000003140000000000000514000000000000031400000000000E0504000000000008031400000000000E0504000000000008031400000000000005140000000000000324000000000000051400000000000003240000000000040514000000000000034400000000000405140000000000000344000000000008051400000000000003540000000000080514000000000000035400000000000405140000000000080344000000000004051400000000000803440000000000020514000000000000033400000000000205140000000000000334000000000000051400000000000803240000000000000514000000000008032400000000000E0504000000000000032400000000000E0504000000000000032400000000000C0504000000000000031400000000000C0504000000000000031400000000000A05040,ET
131,131,62,0103000020E6100000010000000500000000000000002062400000000000A0504000000000000062400000000000A0504000000000000062400000000000C0504000000000002062400000000000C0504000000000002062400000000000A05040,ET
144,144,43,0103000020E610000001000000050000000000000000E064C000000000004050400000000000E064C000000000006050400000000000D064C000000000006050400000000000D064C000000000004050400000000000E064C00000000000405040,Dfc
151,151,43,0103000020E6100000010000000500000000000000009061C000000000002050400000000000A061C000000000002050400000000000A061C0000000000040504000000000009061C0000000000040504000000000009061C00000000000205040,Dfc
152,152,43,0103000020E6100000010000000500000000000000007061C0000000000020504000000000008061C0000000000020504000000000008061C0000000000040504000000000007061C0000000000040504000000000007061C00000000000205040,Dfc
138,138,44,0103000020E61000000100000005000000000000000080624000000000008050400000000000506240000000000080504000000000005062400000000000A0504000000000008062400000000000A0504000000000008062400000000000805040,Dfd
142,142,44,0103000020E610000001000000050000000000000000A06240000000000060504000000000008062400000000000605040000000000080624000000000008050400000000000A0624000000000008050400000000000A062400000000000605040,Dfd
132,132,33,0103000020E6100000010000000500000000000000000031C00000000000A0504000000000008030C00000000000A0504000000000008030C0000000000080504000000000000031C0000000000080504000000000000031C00000000000A05040,Cfc
134,134,33,0103000020E610000001000000050000000000000000002940000000000080504000000000000029400000000000A050400000000000002A400000000000A050400000000000002A40000000000080504000000000000029400000000000805040,Cfc
140,140,33,0103000020E610000001000000050000000000000000002840000000000060504000000000000028400000000000805040000000000000294000000000008050400000000000002940000000000060504000000000000028400000000000605040,Cfc
149,149,44,0103000020E610000001000000050000000000000000706240000000000040504000000000005062400000000000405040000000000050624000000000006050400000000000706240000000000060504000000000007062400000000000405040,Dfd
160,160,44,0103000020E610000001000000050000000000000000906240000000000020504000000000007062400000000000205040000000000070624000000000004050400000000000906240000000000040504000000000009062400000000000205040,Dfd
162,162,44,0103000020E610000001000000070000000000000000A0624000000000002050400000000000A0624000000000006050400000000000B0624000000000006050400000000000B0624000000000004050400000000000C0624000000000004050400000000000C0624000000000002050400000000000A062400000000000205040,Dfd
164,164,47,0103000020E610000001000000050000000000000000706640000000000020504000000000007066400000000000405040000000000080664000000000004050400000000000806640000000000020504000000000007066400000000000205040,Dsc
145,145,51,0103000020E6100000010000000500000000000000009060C000000000004050400000000000A060C000000000004050400000000000A060C0000000000060504000000000009060C0000000000060504000000000009060C00000000000405040,Dwc
166,166,51,0103000020E6100000010000000500000000000000008061C0000000000020504000000000007061C0000000000020504000000000007061C0000000000000504000000000008061C0000000000000504000000000008061C00000000000205040,Dwc
167,167,51,0103000020E6100000010000000500000000000000009060C000000000000050400000000000C060C000000000000050400000000000C060C0000000000020504000000000009060C0000000000020504000000000009060C00000000000005040,Dwc
168,168,51,0103000020E6100000010000000500000000000000006060C0000000000000504000000000008060C0000000000000504000000000008060C0000000000020504000000000006060C0000000000020504000000000006060C00000000000005040,Dwc
136,136,52,0103000020E610000001000000050000000000000000C0614000000000008050400000000000B0614000000000008050400000000000B061400000000000A050400000000000C061400000000000A050400000000000C061400000000000805040,Dwd
158,158,52,0103000020E6100000010000000B0000000000000000206040000000000060504000000000003060400000000000605040000000000030604000000000008050400000000000406040000000000080504000000000004060400000000000605040000000000050604000000000006050400000000000506040000000000020504000000000004060400000000000205040000000000040604000000000004050400000000000206040000000000040504000000000002060400000000000605040,Dwd
159,159,52,0103000020E610000001000000050000000000000000806040000000000020504000000000006060400000000000205040000000000060604000000000004050400000000000806040000000000040504000000000008060400000000000205040,Dwd
171,171,52,0103000020E610000001000000070000000000000000D0604000000000002050400000000000C0604000000000002050400000000000C06040000000000000504000000000009060400000000000005040000000000090604000000000004050400000000000D0604000000000004050400000000000D060400000000000205040,Dwd
135,135,62,0103000020E61000000100000005000000000000000000304000000000008050400000000000002F4000000000008050400000000000002F400000000000A0504000000000000030400000000000A0504000000000000030400000000000805040,ET
137,137,62,0103000020E61000000100000005000000000000000050624000000000008050400000000000206240000000000080504000000000002062400000000000A0504000000000005062400000000000A0504000000000005062400000000000805040,ET
139,139,62,0103000020E6100000010000000900000000000000007061C0000000000060504000000000009061C0000000000060504000000000009061C00000000000C0504000000000008061C00000000000C0504000000000008061C00000000000A0504000000000006061C00000000000A0504000000000006061C0000000000080504000000000007061C0000000000080504000000000007061C00000000000605040,ET
141,141,62,0103000020E610000001000000050000000000000000206040000000000060504000000000002060400000000000805040000000000030604000000000008050400000000000306040000000000060504000000000002060400000000000605040,ET
178,178,42,0103000020E6100000010000000B00000000000000000035400000000000C04F4000000000000034400000000000C04F40000000000000344000000000000050400000000000803440000000000000504000000000008034400000000000205040000000000000354000000000002050400000000000003540000000000040504000000000008035400000000000405040000000000080354000000000000050400000000000003540000000000000504000000000000035400000000000C04F40,Dfb
175,175,43,0103000020E6100000010000000500000000000000006055C00000000000C04F4000000000008055C00000000000C04F4000000000008055C0000000000000504000000000006055C0000000000000504000000000006055C00000000000C04F40,Dfc
176,176,43,0103000020E610000001000000050000000000000000E054C00000000000C04F4000000000002055C00000000000C04F4000000000002055C000000000000050400000000000E054C000000000000050400000000000E054C00000000000C04F40,Dfc
186,186,43,0103000020E6100000010000000500000000000000006055C00000000000804F4000000000006055C00000000000C04F4000000000002055C00000000000C04F4000000000002055C00000000000804F4000000000006055C00000000000804F40,Dfc
177,177,33,0103000020E6100000010000000900000000000000000024400000000000C04F4000000000000024400000000000005040000000000000254000000000000050400000000000002540000000000020504000000000000026400000000000205040000000000000264000000000000050400000000000002740000000000000504000000000000027400000000000C04F4000000000000024400000000000C04F40,Cfc
198,198,43,0103000020E610000001000000050000000000000000001E400000000000404F400000000000001E400000000000804F4000000000000021400000000000804F4000000000000021400000000000404F400000000000001E400000000000404F40,Dfc
191,191,44,0103000020E6100000010000000500000000000000006062400000000000804F4000000000005062400000000000804F4000000000005062400000000000C04F4000000000006062400000000000C04F4000000000006062400000000000804F40,Dfd
172,172,47,0103000020E610000001000000090000000000000000506640000000000000504000000000001066400000000000005040000000000010664000000000004050400000000000F0654000000000004050400000000000F06540000000000060504000000000004066400000000000605040000000000040664000000000002050400000000000506640000000000020504000000000005066400000000000005040,Dsc
194,194,47,0103000020E610000001000000050000000000000000A05CC00000000000404F400000000000C05CC00000000000404F400000000000C05CC00000000000804F400000000000A05CC00000000000804F400000000000A05CC00000000000404F40,Dsc
173,173,51,0103000020E6100000010000000500000000000000002062C00000000000C04F4000000000003062C00000000000C04F4000000000003062C0000000000000504000000000002062C0000000000000504000000000002062C00000000000C04F40,Dwc
199,199,52,0103000020E610000001000000050000000000000000D061400000000000404F400000000000C061400000000000404F400000000000C061400000000000804F400000000000D061400000000000804F400000000000D061400000000000404F40,Dwd
179,179,62,0103000020E61000000100000059000000000000000090644000000000004051400000000000A0644000000000004051400000000000A064400000000000605140000000000090644000000000006051400000000000906440000000000040514000000000008064400000000000405140000000000080644000000000008051400000000000C0644000000000008051400000000000C0644000000000006051400000000000C06440000000000040514000000000000065400000000000405140000000000000654000000000002051400000000000106540000000000020514000000000001065400000000000405140000000000020654000000000004051400000000000206540000000000020514000000000003065400000000000205140000000000030654000000000000051400000000000606540000000000000514000000000007065400000000000005140000000000090654000000000000051400000000000906540000000000040514000000000008065400000000000405140000000000070654000000000004051400000000000706540000000000060514000000000006065400000000000605140000000000050654000000000006051400000000000506540000000000080514000000000007065400000000000805140000000000010664000000000008051400000000000106640000000000060514000000000003066400000000000605140000000000070664000000000006051400000000000706640000000000040514000000000008066400000000000405140000000000080664000000000004050400000000000706640000000000040504000000000005066400000000000405040000000000050664000000000008050400000000000106640000000000080504000000000001066400000000000A050400000000000F065400000000000A050400000000000F0654000000000008050400000000000E0654000000000008050400000000000E0654000000000006050400000000000D0654000000000006050400000000000D065400000000000A050400000000000E065400000000000A050400000000000E065400000000000C050400000000000C065400000000000C050400000000000C065400000000000E050400000000000B065400000000000E050400000000000B065400000000000C0504000000000009065400000000000C0504000000000009065400000000000A0504000000000007065400000000000A05040000000000070654000000000008050400000000000606540000000000080504000000000006065400000000000C0504000000000003065400000000000C05040000000000030654000000000008050400000000000F0644000000000008050400000000000F0644000000000006050400000000000E0644000000000006050400000000000E0644000000000004050400000000000D0644000000000004050400000000000D06440000000000020504000000000007064400000000000205040000000000070644000000000000050400000000000806440000000000000504000000000008064400000000000C04F4000000000005064400000000000C04F4000000000005064400000000000205040000000000040644000000000002050400000000000406440000000000060504000000000005064400000000000605040000000000050644000000000008050400000000000806440000000000080504000000000008064400000000000A050400000000000C064400000000000A050400000000000C064400000000000C050400000000000B064400000000000C050400000000000B064400000000000E050400000000000D064400000000000E050400000000000D0644000000000000051400000000000A0644000000000000051400000000000A0644000000000002051400000000000906440000000000020514000000000009064400000000000405140,ET
180,180,62,0103000020E610000001000000050000000000000000B064400000000000C04F4000000000009064400000000000C04F40000000000090644000000000000050400000000000B0644000000000000050400000000000B064400000000000C04F40,ET
184,184,62,0103000020E610000001000000050000000000000000C056C00000000000C04F400000000000C056C00000000000804F400000000000E056C00000000000804F400000000000E056C00000000000C04F400000000000C056C00000000000C04F40,ET
234,234,42,0103000020E6100000010000000500000000000000000020400000000000004E400000000000001E400000000000004E400000000000001E400000000000404E4000000000000020400000000000404E4000000000000020400000000000004E40,Dfb
235,235,42,0103000020E6100000010000000500000000000000000033400000000000004E4000000000008032400000000000004E4000000000008032400000000000404E4000000000000033400000000000404E4000000000000033400000000000004E40,Dfb
206,206,43,0103000020E610000001000000090000000000000000A054C00000000000004F4000000000000055C00000000000004F4000000000000055C00000000000404F400000000000E054C00000000000404F400000000000E054C00000000000804F4000000000008054C00000000000804F4000000000008054C00000000000404F400000000000A054C00000000000404F400000000000A054C00000000000004F40,Dfc
233,233,32,0103000020E61000000100000005000000000000000000F0BF0000000000004E4000000000000000C00000000000004E4000000000000000C00000000000804E40000000000000F0BF0000000000804E40000000000000F0BF0000000000004E40,Cfb
213,213,33,0103000020E610000001000000070000000000000000001AC00000000000C04E400000000000001CC00000000000C04E400000000000001CC00000000000004F400000000000001EC00000000000004F400000000000001EC00000000000404F400000000000001AC00000000000404F400000000000001AC00000000000C04E40,Cfc
216,216,43,0103000020E6100000010000000F00000000000000005062400000000000804F4000000000006062400000000000804F4000000000007062400000000000804F4000000000007062400000000000C04F4000000000008062400000000000C04F4000000000008062400000000000804F4000000000009062400000000000804F4000000000009062400000000000004F4000000000007062400000000000004F4000000000007062400000000000C04E4000000000006062400000000000C04E4000000000006062400000000000404F4000000000004062400000000000404F4000000000004062400000000000804F4000000000005062400000000000804F40,Dfc
229,229,44,0103000020E6100000010000000500000000000000002061400000000000404E4000000000001061400000000000404E4000000000001061400000000000804E4000000000002061400000000000804E4000000000002061400000000000404E40,Dfd
202,202,47,0103000020E610000001000000050000000000000000F060C00000000000004F400000000000F060C00000000000404F400000000000E060C00000000000404F400000000000E060C00000000000004F400000000000F060C00000000000004F40,Dsc
205,205,47,0103000020E610000001000000050000000000000000805CC00000000000004F400000000000805CC00000000000404F400000000000205CC00000000000404F400000000000205CC00000000000004F400000000000805CC00000000000004F40,Dsc
210,210,47,0103000020E6100000010000000700000000000000002062C00000000000C04E4000000000003062C00000000000C04E4000000000003062C00000000000004F4000000000004062C00000000000004F4000000000004062C00000000000404F4000000000002062C00000000000404F4000000000002062C00000000000C04E40,Dsc
230,230,51,0103000020E6100000010000000500000000000000004061400000000000404E4000000000003061400000000000404E4000000000003061400000000000804E4000000000004061400000000000804E4000000000004061400000000000404E40,Dwc
231,231,52,0103000020E6100000020000002900000000000000005061400000000000404E4000000000004061400000000000404E4000000000004061400000000000804E4000000000003061400000000000804E4000000000003061400000000000404E4000000000002061400000000000404E4000000000002061400000000000804E4000000000001061400000000000804E4000000000001061400000000000C04F400000000000D060400000000000C04F400000000000D0604000000000002050400000000000E0604000000000002050400000000000E0604000000000004050400000000000F0604000000000004050400000000000F060400000000000205040000000000010614000000000002050400000000000106140000000000040504000000000002061400000000000405040000000000020614000000000006050400000000000306140000000000060504000000000003061400000000000A0504000000000004061400000000000A0504000000000004061400000000000805040000000000050614000000000008050400000000000506140000000000060504000000000008061400000000000605040000000000080614000000000004050400000000000D0614000000000004050400000000000D0614000000000002050400000000000C0614000000000002050400000000000C061400000000000804F4000000000009061400000000000804F4000000000009061400000000000C04F400000000000A061400000000000C04F400000000000A0614000000000000050400000000000406140000000000000504000000000004061400000000000C04F4000000000006061400000000000C04F4000000000006061400000000000804E4000000000005061400000000000804E4000000000005061400000000000404E400500000000000000005061400000000000C04E4000000000005061400000000000004F4000000000004061400000000000004F4000000000004061400000000000C04E4000000000005061400000000000C04E40,Dwd
